"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2012","Portugal","55 years","Males","Number","66,172",""
"2012","Portugal","55 years","Females","Number","71,833",""
"2012","Portugal","56 years","Males","Number","66,128",""
"2012","Portugal","56 years","Females","Number","72,986",""
"2012","Portugal","57 years","Males","Number","64,162",""
"2012","Portugal","57 years","Females","Number","70,337",""
"2012","Portugal","58 years","Males","Number","62,014",""
"2012","Portugal","58 years","Females","Number","69,044",""
"2012","Portugal","59 years","Males","Number","62,618",""
"2012","Portugal","59 years","Females","Number","70,752",""
"2012","Portugal","60 years","Males","Number","63,114",""
"2012","Portugal","60 years","Females","Number","69,557",""
"2012","Portugal","61 years","Males","Number","61,663",""
"2012","Portugal","61 years","Females","Number","68,383",""
"2012","Portugal","62 years","Males","Number","60,043",""
"2012","Portugal","62 years","Females","Number","66,633",""
"2012","Portugal","63 years","Males","Number","59,958",""
"2012","Portugal","63 years","Females","Number","69,073",""
"2012","Portugal","64 years","Males","Number","53,203",""
"2012","Portugal","64 years","Females","Number","62,322",""
"2012","Portugal","65 years","Males","Number","52,593",""
"2012","Portugal","65 years","Females","Number","62,435",""
"2012","Portugal","66 years","Males","Number","53,445",""
"2012","Portugal","66 years","Females","Number","64,904",""
"2012","Portugal","67 years","Males","Number","50,007",""
"2012","Portugal","67 years","Females","Number","60,834",""
"2012","Portugal","68 years","Males","Number","47,856",""
"2012","Portugal","68 years","Females","Number","58,010",""
"2012","Portugal","69 years","Males","Number","44,189",""
"2012","Portugal","69 years","Females","Number","54,479",""
"2012","Portugal","70 years","Males","Number","43,109",""
"2012","Portugal","70 years","Females","Number","53,483",""
"2012","Portugal","71 years","Males","Number","43,334",""
"2012","Portugal","71 years","Females","Number","54,398",""
"2012","Portugal","72 years","Males","Number","43,154",""
"2012","Portugal","72 years","Females","Number","55,312",""
"2012","Portugal","73 years","Males","Number","42,543",""
"2012","Portugal","73 years","Females","Number","54,508",""
"2012","Portugal","74 years","Males","Number","39,985",""
"2012","Portugal","74 years","Females","Number","53,424",""
"2012","Portugal","75 years","Males","Number","40,852",""
"2012","Portugal","75 years","Females","Number","54,988",""
"2012","Portugal","76 years","Males","Number","38,578",""
"2012","Portugal","76 years","Females","Number","53,802",""
"2012","Portugal","77 years","Males","Number","35,239",""
"2012","Portugal","77 years","Females","Number","49,690",""
"2012","Portugal","78 years","Males","Number","33,509",""
"2012","Portugal","78 years","Females","Number","49,221",""
"2012","Portugal","79 years","Males","Number","31,772",""
"2012","Portugal","79 years","Females","Number","47,370",""
"2012","Portugal","80 years","Males","Number","29,979",""
"2012","Portugal","80 years","Females","Number","44,311",""
"2012","Portugal","81 years","Males","Number","26,245",""
"2012","Portugal","81 years","Females","Number","42,424",""
"2012","Portugal","82 years","Males","Number","21,897",""
"2012","Portugal","82 years","Females","Number","36,237",""
"2012","Portugal","83 years","Males","Number","19,841",""
"2012","Portugal","83 years","Females","Number","34,563",""
"2012","Portugal","84 years","Males","Number","17,115",""
"2012","Portugal","84 years","Females","Number","30,792",""
"2012","Portugal","85 years","Males","Number","15,356",""
"2012","Portugal","85 years","Females","Number","29,177",""
"2012","Portugal","86 years","Males","Number","12,821",""
"2012","Portugal","86 years","Females","Number","25,588",""
"2012","Portugal","87 years","Males","Number","10,836",""
"2012","Portugal","87 years","Females","Number","21,256",""
"2012","Portugal","88 years","Males","Number","8,353",""
"2012","Portugal","88 years","Females","Number","17,769",""
"2012","Portugal","89 years","Males","Number","6,579",""
"2012","Portugal","89 years","Females","Number","14,357",""
"2012","Portugal","90 years","Males","Number","5,983",""
"2012","Portugal","90 years","Females","Number","13,075",""
"2012","Portugal","91 years","Males","Number","4,683",""
"2012","Portugal","91 years","Females","Number","11,206",""
"2012","Portugal","92 years","Males","Number","2,789",""
"2012","Portugal","92 years","Females","Number","6,990",""
"2012","Portugal","93 years","Males","Number","2,033",""
"2012","Portugal","93 years","Females","Number","5,205",""
"2012","Portugal","94 years","Males","Number","1,648",""
"2012","Portugal","94 years","Females","Number","4,309",""
"2012","Portugal","95 years","Males","Number","1,197",""
"2012","Portugal","95 years","Females","Number","3,464",""
"2012","Portugal","96 years","Males","Number","930",""
"2012","Portugal","96 years","Females","Number","2,610",""
"2012","Portugal","97 years","Males","Number","821",""
"2012","Portugal","97 years","Females","Number","2,253",""
"2012","Portugal","98 years","Males","Number","656",""
"2012","Portugal","98 years","Females","Number","1,687",""
"2012","Portugal","99 years","Males","Number","380",""
"2012","Portugal","99 years","Females","Number","1,140",""
"2012","Portugal","Open-ended age class","Males","Number","457",""
"2012","Portugal","Open-ended age class","Females","Number","1,611",""
"2012","Portugal","Unknown","Males","Number","0",""
"2012","Portugal","Unknown","Females","Number","0",""
"2013","Portugal","Less than 1 year","Males","Number","46,052",""
"2013","Portugal","Less than 1 year","Females","Number","43,548",""
"2013","Portugal","1 year","Males","Number","49,029",""
"2013","Portugal","1 year","Females","Number","46,634",""
"2013","Portugal","2 years","Males","Number","50,331",""
"2013","Portugal","2 years","Females","Number","49,177",""
"2013","Portugal","3 years","Males","Number","48,949",""
"2013","Portugal","3 years","Females","Number","47,086",""
"2013","Portugal","4 years","Males","Number","51,413",""
"2013","Portugal","4 years","Females","Number","48,746",""
"2013","Portugal","5 years","Males","Number","50,257",""
"2013","Portugal","5 years","Females","Number","47,975",""
"2013","Portugal","6 years","Males","Number","51,430",""
"2013","Portugal","6 years","Females","Number","49,495",""
"2013","Portugal","7 years","Males","Number","53,995",""
"2013","Portugal","7 years","Females","Number","50,931",""
"2013","Portugal","8 years","Males","Number","52,956",""
"2013","Portugal","8 years","Females","Number","50,530",""
"2013","Portugal","9 years","Males","Number","54,525",""
"2013","Portugal","9 years","Females","Number","51,776",""
"2013","Portugal","10 years","Males","Number","55,172",""
"2013","Portugal","10 years","Females","Number","52,110",""
"2013","Portugal","11 years","Males","Number","55,006",""
"2013","Portugal","11 years","Females","Number","51,883",""
"2013","Portugal","12 years","Males","Number","59,689",""
"2013","Portugal","12 years","Females","Number","56,663",""
"2013","Portugal","13 years","Males","Number","58,133",""
"2013","Portugal","13 years","Females","Number","55,854",""
