sample_id	cheese_full_type	animal_origin	milk_treatment	cheese_classification	country	region	colection_year	clinical_source	clinical_freq
SRR2924601.fa	 fresh cheese			soft	USA	Maryland	2013		
SRR2924604.fa	 soft ripened cheese			soft	USA	Maryland	2013		
SRR2962368.fa	 american curd cheese				USA	Florida	2015		
SRR3108926.fa	 ripened pasteurized milk semi-soft ricotta cheese		pasteurized	semi-soft	Canada		2011		
SRR3109060.fa	raw milk cheese		raw		Canada		2011		
SRR3112633.fa	pasteurized milk ripened semi-soft mozzarella (bocconcini)		pasteurized	semi-soft	Canada		2004		
SRR3113964.fa	 ripened pasteurized milk soft cream cheese		pasteurized	soft	Canada		2002		
SRR3173363.fa	 robiola pineta cheese			soft	Italy		2008		
SRR3173364.fa	 robiola pineta cheese			soft	Italy		2008		
SRR3173365.fa	 robiola pineta cheese			soft	Italy		2008		
SRR3173373.fa	 fresh cheese			soft	USA	New York	2009		
SRR3173374.fa	 cheese				Poland		2009		
SRR3173375.fa	 queso fresco				USA	New Jersey	2009		
SRR3173379.fa	 queso fresco			soft	USA	New Jersey	2009		
SRR3181837.fa	 blue cheese				USA		2011		
SRR3181839.fa	 blue cheese				USA		2011		
SRR3215346.fa	 cheese				Italy		2003		
SRR3215348.fa	 cheese				Italy		2011		
SRR3215349.fa	 cheese				Italy		2011		
SRR3215351.fa	 cheese				Italy		2011		
SRR3215364.fa	 raw milk cheese		raw		Italy		2011		
SRR3345538.fa	 cheese				Italy		2012		
SRR3345539.fa	 cheese				Italy		2012		
SRR3345818.fa	 cheese				Italy		2013		
SRR3345855.fa	 cheese				Italy		2014		
SRR3345865.fa	 cheese				Italy		2014		
SRR3345876.fa	 cheese				Italy		2012		
SRR3345906.fa	 cheese				Italy		2011		
SRR3345918.fa	 cheese				Italy		2011		
SRR3345928.fa	 cheese				Italy		2011		
SRR3345929.fa	 cheese				Italy		2011		
SRR3372408.fa	 shredded cheddar cheese	cow		hard	USA	California	2011		
SRR3391877.fa	 cheese				Italy		2003		
SRR3391886.fa	 bovine cheese				Italy		2003		
SRR3395016.fa	 cheese				Chile		2009		
SRR3606562.fa	 queso fresco			soft	USA	Michigan	2009		
SRR3606570.fa	 fresh mexican style cheese			soft	Mexico		2007		
SRR3606573.fa	 fresh mexican style cheese			soft	Italy		2014		
SRR3634424.fa	 cheese				USA	Florida	2009		
SRR3659465.fa	 fresh white cheese			soft	Mexico		2003		
SRR3659466.fa	 mexican white cheese				Mexico		2004		
SRR3660092.fa	 queso fresco cheese			soft	USA	Florida	2005		
SRR3928667.fa	 queso seco cheese				USA	Florida	2007		
SRR3930180.fa	 sheep's milk ricotta cheese	sheep		semi-soft or soft	Italy		2004		
SRR3930183.fa	 mexican cheese				Mexico		2003		
SRR3930184.fa	 mexican cheese				Mexico		2003		
SRR3945509.fa	 morbier cheese (aged over 60 days)	cow		semi-soft	France		2010		
SRR3945510.fa	 queso fresco cheese			soft	USA	New York	1905		
SRR3945582.fa	 oaxaca string cheese	cow	pasteurized	semi-hard	USA	New Jersey	2010		
SRR3945590.fa	 ricotta cheese			semi-soft or soft	USA	New Jersey	2012		
